formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,reference,types,business_status,photos,rating,user_ratings_total,permanently_closed,opening_hours,plus_code,url
"6W6C+7GP, Sei Pinang, Mandau Talawang, Kapuas Regency, Central Kalimantan, Indonesia","{'location': {'lat': -0.789275, 'lng': 113.921327}, 'viewport': {'northeast': {'lat': -0.7879251701072777, 'lng': 113.9226768298927}, 'southwest': {'lat': -0.7906248298927221, 'lng': 113.9199771701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Waterboom Bali,ChIJS6u__UXH_i0RFZ1NIs6yO4k,ChIJS6u__UXH_i0RFZ1NIs6yO4k,"['tourist_attraction', 'point_of_interest', 'establishment']",CLOSED_TEMPORARILY,,5.0,1.0,True,,,https://www.google.com/maps/place/?q=place_id:ChIJS6u__UXH_i0RFZ1NIs6yO4k
"6W6C+7GP, Sei Pinang, Mandau Talawang, Kapuas Regency, Central Kalimantan, Indonesia","{'location': {'lat': -0.789275, 'lng': 113.921327}, 'viewport': {'northeast': {'lat': -0.7879251701072777, 'lng': 113.9226768298927}, 'southwest': {'lat': -0.7906248298927221, 'lng': 113.9199771701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Batu heba,ChIJnc_CJ5XH_i0ROS5Nt_X38Ho,ChIJnc_CJ5XH_i0ROS5Nt_X38Ho,"['tourist_attraction', 'point_of_interest', 'establishment']",CLOSED_TEMPORARILY,,0.0,0.0,True,,,https://www.google.com/maps/place/?q=place_id:ChIJnc_CJ5XH_i0ROS5Nt_X38Ho
"6W6C+7GP, Sei Pinang, Mandau Talawang, Kapuas Regency, Central Kalimantan, Indonesia","{'location': {'lat': -0.789275, 'lng': 113.921327}, 'viewport': {'northeast': {'lat': -0.7879251701072777, 'lng': 113.9226768298927}, 'southwest': {'lat': -0.7906248298927221, 'lng': 113.9199771701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Binjai pemangkih,ChIJ113VmzfH_i0RUXYPphRYXCQ,ChIJ113VmzfH_i0RUXYPphRYXCQ,"['tourist_attraction', 'point_of_interest', 'establishment']",CLOSED_TEMPORARILY,,0.0,0.0,True,,,https://www.google.com/maps/place/?q=place_id:ChIJ113VmzfH_i0RUXYPphRYXCQ
"6W6C+7GP, Sei Pinang, Mandau Talawang, Kapuas Regency, Central Kalimantan, Indonesia","{'location': {'lat': -0.789275, 'lng': 113.921327}, 'viewport': {'northeast': {'lat': -0.7879251701072777, 'lng': 113.9226768298927}, 'southwest': {'lat': -0.7906248298927221, 'lng': 113.9199771701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pematang sulur,ChIJGfpwIdPH_i0R5Jzw92_xLbQ,ChIJGfpwIdPH_i0R5Jzw92_xLbQ,"['tourist_attraction', 'point_of_interest', 'establishment']",CLOSED_TEMPORARILY,,0.0,0.0,True,,,https://www.google.com/maps/place/?q=place_id:ChIJGfpwIdPH_i0R5Jzw92_xLbQ
"South America, Africa, and Indonesia, Sei Pinang, Mandau Talawang, Kapuas Regency, Central Kalimantan, Indonesia","{'location': {'lat': -0.789275, 'lng': 113.921327}, 'viewport': {'northeast': {'lat': -0.7879251701072777, 'lng': 113.9226768298927}, 'southwest': {'lat': -0.7906248298927221, 'lng': 113.9199771701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Equator,ChIJCYUtJxjH_i0RY2w_wuoJU6c,ChIJCYUtJxjH_i0RY2w_wuoJU6c,"['tourist_attraction', 'point_of_interest', 'establishment']",CLOSED_TEMPORARILY,,0.0,0.0,True,,,https://www.google.com/maps/place/?q=place_id:ChIJCYUtJxjH_i0RY2w_wuoJU6c
"6W6C+7GP, Sei Pinang, Mandau Talawang, Kapuas Regency, Central Kalimantan, Indonesia","{'location': {'lat': -0.789275, 'lng': 113.921327}, 'viewport': {'northeast': {'lat': -0.7879251701072777, 'lng': 113.9226768298927}, 'southwest': {'lat': -0.7906248298927221, 'lng': 113.9199771701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,ora beack,ChIJ94nU09bH_i0R6oXRbDv2thI,ChIJ94nU09bH_i0R6oXRbDv2thI,"['tourist_attraction', 'point_of_interest', 'establishment']",CLOSED_TEMPORARILY,,0.0,0.0,True,,,https://www.google.com/maps/place/?q=place_id:ChIJ94nU09bH_i0R6oXRbDv2thI
"6W6C+7GP, Sei Pinang, Mandau Talawang, Kapuas Regency, Central Kalimantan, Indonesia","{'location': {'lat': -0.789275, 'lng': 113.921327}, 'viewport': {'northeast': {'lat': -0.7879251701072777, 'lng': 113.9226768298927}, 'southwest': {'lat': -0.7906248298927221, 'lng': 113.9199771701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kulee,ChIJAY-t6hnH_i0RTcoYT6Ojgh0,ChIJAY-t6hnH_i0RTcoYT6Ojgh0,"['tourist_attraction', 'point_of_interest', 'establishment']",CLOSED_TEMPORARILY,,5.0,2.0,True,,,https://www.google.com/maps/place/?q=place_id:ChIJAY-t6hnH_i0RTcoYT6Ojgh0
"6W6C+7GP, Sei Pinang, Mandau Talawang, Kapuas Regency, Central Kalimantan, Indonesia","{'location': {'lat': -0.789275, 'lng': 113.921327}, 'viewport': {'northeast': {'lat': -0.7879251701072777, 'lng': 113.9226768298927}, 'southwest': {'lat': -0.7906248298927221, 'lng': 113.9199771701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,TPU kayu manis,ChIJOcDHFBnH_i0RIhzqsKwaOzo,ChIJOcDHFBnH_i0RIhzqsKwaOzo,"['tourist_attraction', 'point_of_interest', 'establishment']",CLOSED_TEMPORARILY,,0.0,0.0,True,,,https://www.google.com/maps/place/?q=place_id:ChIJOcDHFBnH_i0RIhzqsKwaOzo
"6W6C+7GP, Sei Pinang, Mandau Talawang, Kapuas Regency, Central Kalimantan 74511, Indonesia","{'location': {'lat': -0.789275, 'lng': 113.921327}, 'viewport': {'northeast': {'lat': -0.7879251701072777, 'lng': 113.9226768298927}, 'southwest': {'lat': -0.7906248298927221, 'lng': 113.9199771701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tanjung Riau pelabuhan,ChIJixQvGG3H_i0RMrEM_iJDdq0,ChIJixQvGG3H_i0RMrEM_iJDdq0,"['tourist_attraction', 'point_of_interest', 'establishment']",CLOSED_TEMPORARILY,,0.0,0.0,True,,,https://www.google.com/maps/place/?q=place_id:ChIJixQvGG3H_i0RMrEM_iJDdq0
"6W6C+7GP, Sei Pinang, Mandau Talawang, Kapuas Regency, Central Kalimantan, Indonesia","{'location': {'lat': -0.789275, 'lng': 113.921327}, 'viewport': {'northeast': {'lat': -0.7879251701072777, 'lng': 113.9226768298927}, 'southwest': {'lat': -0.7906248298927221, 'lng': 113.9199771701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pakning asal,ChIJA8JkyiDH_i0Rx5vbKw8G9og,ChIJA8JkyiDH_i0Rx5vbKw8G9og,"['tourist_attraction', 'point_of_interest', 'establishment']",CLOSED_TEMPORARILY,,0.0,0.0,True,,,https://www.google.com/maps/place/?q=place_id:ChIJA8JkyiDH_i0Rx5vbKw8G9og
"6W6C+7GP, Sei Pinang, Mandau Talawang, Kapuas Regency, Central Kalimantan 74511, Indonesia","{'location': {'lat': -0.789275, 'lng': 113.921327}, 'viewport': {'northeast': {'lat': -0.7879251701072777, 'lng': 113.9226768298927}, 'southwest': {'lat': -0.7906248298927221, 'lng': 113.9199771701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Sya dobay,ChIJbayyyh_H_i0R5RTgsu9WeX8,ChIJbayyyh_H_i0R5RTgsu9WeX8,"['tourist_attraction', 'point_of_interest', 'establishment']",CLOSED_TEMPORARILY,"[{'height': 2304, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111911035888282937971"">dedy boy</a>'], 'photo_reference': 'AUGGfZlTz4a_hIf4rNpKNbRNYTPa852zpkna86hPD31Q5U5ELH7Q9SoKsihA1UFBYwxQyzVm-loVYYkmL4yMHpHv0ZJTaBCyy8LyYI8L6BcPlA6PUioh_awM5dq3qAOj8u7QMV7k_T9LVISzSQ43s9eY1Xj4m7K5CZG5Y03bNFuhmVHf8vCR', 'width': 4096}]",5.0,1.0,True,,,https://www.google.com/maps/place/?q=place_id:ChIJbayyyh_H_i0R5RTgsu9WeX8
"6W6C+7GP, Pulau Pasir, Sei Pinang, Indonesia","{'location': {'lat': -0.789275, 'lng': 113.921327}, 'viewport': {'northeast': {'lat': -0.7879251701072777, 'lng': 113.9226768298927}, 'southwest': {'lat': -0.7906248298927221, 'lng': 113.9199771701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pulau Pasir Indonesia,ChIJSZWNLFTH_i0RpAdoS8xJr1Y,ChIJSZWNLFTH_i0RpAdoS8xJr1Y,"['tourist_attraction', 'point_of_interest', 'establishment']",CLOSED_TEMPORARILY,,5.0,1.0,True,,,https://www.google.com/maps/place/?q=place_id:ChIJSZWNLFTH_i0RpAdoS8xJr1Y
"6W6C+7GP, Sei Pinang, Mandau Talawang, Kapuas Regency, Central Kalimantan 74511, Indonesia","{'location': {'lat': -0.789275, 'lng': 113.921327}, 'viewport': {'northeast': {'lat': -0.7879251701072777, 'lng': 113.9226768298927}, 'southwest': {'lat': -0.7906248298927221, 'lng': 113.9199771701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Banaran unnes,ChIJZ5bJgQfH_i0RS0l57BXhwbY,ChIJZ5bJgQfH_i0RS0l57BXhwbY,"['tourist_attraction', 'point_of_interest', 'establishment']",CLOSED_TEMPORARILY,,0.0,0.0,True,,,https://www.google.com/maps/place/?q=place_id:ChIJZ5bJgQfH_i0RS0l57BXhwbY
