formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,rating,reference,types,user_ratings_total,business_status,opening_hours,plus_code,permanently_closed,url
"7HR7+PG, Wanayasa, Purwakarta Regency, West Java, Indonesia","{'location': {'lat': -6.708203399999999, 'lng': 107.5637738}, 'viewport': {'northeast': {'lat': -6.70241025, 'lng': 107.5663454}, 'southwest': {'lat': -6.710134449999999, 'lng': 107.5629166}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Curug cibakom,"[{'height': 1719, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111634075583729159330"">baso kuah</a>'], 'photo_reference': 'AUGGfZnHkVcXrxTYtKxzDWxnTZ1O-xoQl-x-MD4zzd1iQvsAnr9jaskA9iKnNSpbLoKUZY0Ip1O4sVZhAY71BpPA6Mz8M5PlIrDp-trTyrqai6XHlB8fUf0PvqKVOYRqb8udLyTFXp8VFvcDhxi20R-PsLfisQAPi9gZGTLTZXEEZ_BBQLOW', 'width': 2293}]",ChIJEeD3yKwdaS4RQ7hCx4NIVpA,0.0,ChIJEeD3yKwdaS4RQ7hCx4NIVpA,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,OPERATIONAL,,,,https://www.google.com/maps/place/?q=place_id:ChIJEeD3yKwdaS4RQ7hCx4NIVpA
"8GWQ+6X8, Jl. Raya Barat Wanayasa, Legokhuni, Kec. Wanayasa, Kabupaten Purwakarta, Jawa Barat 41174, Indonesia","{'location': {'lat': -6.6544709, 'lng': 107.5399395}, 'viewport': {'northeast': {'lat': -6.653105870107278, 'lng': 107.5413168798927}, 'southwest': {'lat': -6.655805529892722, 'lng': 107.5386172201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tapak Lisung,,ChIJ59CJuMcbaS4RdZqKc4rt1Pg,0.0,ChIJ59CJuMcbaS4RdZqKc4rt1Pg,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,OPERATIONAL,,,,https://www.google.com/maps/place/?q=place_id:ChIJ59CJuMcbaS4RdZqKc4rt1Pg
"8HGF+CH, Babakan, Wanayasa, Purwakarta Regency, West Java 41174, Indonesia","{'location': {'lat': -6.6739218, 'lng': 107.5739092}, 'viewport': {'northeast': {'lat': -6.672195549999999, 'lng': 107.5747061}, 'southwest': {'lat': -6.679100549999999, 'lng': 107.5715185}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,kebun kinda,,ChIJx5q7L_MbaS4RYMmLcJ-Wznw,5.0,ChIJx5q7L_MbaS4RYMmLcJ-Wznw,"['tourist_attraction', 'point_of_interest', 'establishment']",1.0,OPERATIONAL,,,,https://www.google.com/maps/place/?q=place_id:ChIJx5q7L_MbaS4RYMmLcJ-Wznw
"8GFW+F8F, Raharja, Wanayasa, Purwakarta Regency, West Java 41174, Indonesia","{'location': {'lat': -6.676310099999999, 'lng': 107.545799}, 'viewport': {'northeast': {'lat': -6.675323770107278, 'lng': 107.5475025798927}, 'southwest': {'lat': -6.678023429892722, 'lng': 107.5448029201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Saung Jami,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103545307147327616476"">A Google User</a>'], 'photo_reference': 'AUGGfZl97ZrGX5O-tsoIJ8mxe4SZR9pCpTzHlLWZQ6zu-yiX64q_4jrnwxA_Q4uOffnOEp7nZz8O6RTGKm_iJ_jBAKk-lg-80FkmqFpqqgImxqU4sk_pQIQfpQpZohv9KqLA7WcS5jOMH15mm0LKo6QDEdCYiAXaO0a3vlH8YnW0ON1JYnXd', 'width': 2080}]",ChIJh9HTj10baS4R5IdIcWb8stQ,3.0,ChIJh9HTj10baS4R5IdIcWb8stQ,"['tourist_attraction', 'point_of_interest', 'establishment']",1.0,OPERATIONAL,{'open_now': True},,,https://www.google.com/maps/place/?q=place_id:ChIJh9HTj10baS4R5IdIcWb8stQ
"8H87+WF4, Babakan, Wanayasa, Purwakarta Regency, West Java 41174, Indonesia","{'location': {'lat': -6.682413299999999, 'lng': 107.5637557}, 'viewport': {'northeast': {'lat': -6.681074720107278, 'lng': 107.5650285298927}, 'southwest': {'lat': -6.683774379892722, 'lng': 107.5623288701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Bumi Mitoha,,ChIJkW4TjQ4baS4Rnw5L_swZqBg,4.0,ChIJkW4TjQ4baS4Rnw5L_swZqBg,"['tourist_attraction', 'point_of_interest', 'establishment']",1.0,OPERATIONAL,,,,https://www.google.com/maps/place/?q=place_id:ChIJkW4TjQ4baS4Rnw5L_swZqBg
"8HF4+H67, Wanasari, Wanayasa, Purwakarta Regency, West Java 41174, Indonesia","{'location': {'lat': -6.6757253, 'lng': 107.5568732}, 'viewport': {'northeast': {'lat': -6.674388120107278, 'lng': 107.5582414298927}, 'southwest': {'lat': -6.677087779892722, 'lng': 107.5555417701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tempat parkir kolam renang situ wanayasa,,ChIJ7ZTEHAAbaS4RZaocCmCvnzU,0.0,ChIJ7ZTEHAAbaS4RZaocCmCvnzU,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,OPERATIONAL,,,,https://www.google.com/maps/place/?q=place_id:ChIJ7ZTEHAAbaS4RZaocCmCvnzU
"9GC6+RR9, Taringgul Tonggoh, Wanayasa, Purwakarta Regency, West Java 41174, Indonesia","{'location': {'lat': -6.6279857, 'lng': 107.5120865}, 'viewport': {'northeast': {'lat': -6.626457520107278, 'lng': 107.5135502798927}, 'southwest': {'lat': -6.629157179892721, 'lng': 107.5108506201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,FARM TRIPLE L,,ChIJmVNsAQAbaS4RImKyHwTKVmQ,5.0,ChIJmVNsAQAbaS4RImKyHwTKVmQ,"['tourist_attraction', 'point_of_interest', 'establishment']",1.0,OPERATIONAL,,,,https://www.google.com/maps/place/?q=place_id:ChIJmVNsAQAbaS4RImKyHwTKVmQ
"8G3X+7W6, Cibuntu, Wanayasa, Purwakarta Regency, West Java 41174, Indonesia","{'location': {'lat': -6.6968462, 'lng': 107.5497529}, 'viewport': {'northeast': {'lat': -6.695164020107277, 'lng': 107.5511916298927}, 'southwest': {'lat': -6.697863679892722, 'lng': 107.5484919701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kolam renang &vila ci bakom sumurugul,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116357011717679134614"">Mama Clara</a>'], 'photo_reference': 'AUGGfZnxUFODQj5L_5J131P5lhYIg9YWYvzYzwuVylkQV26jBLRmnYNkFmAET4cN6xvl7x0qHWcgmA3z-_PlqrcvNmjmiCMf6HhdYt71gXEgELBjgYESc5-oF0qyI2XCFm5y-naIJdaNYRyJ7njyPgCcR1BF6TI9cR7YBWuPjrHJ1qAwyq_M', 'width': 1920}]",ChIJM9P0kI4daS4Rv1hwa16PLe4,4.8,ChIJM9P0kI4daS4Rv1hwa16PLe4,"['tourist_attraction', 'point_of_interest', 'establishment']",6.0,OPERATIONAL,{'open_now': False},,,https://www.google.com/maps/place/?q=place_id:ChIJM9P0kI4daS4Rv1hwa16PLe4
"7GVQ+92F, Kp pentas, RT.04/RW.02, Sakambang, Wanayasa, Purwakarta Regency, West Java, Indonesia","{'location': {'lat': -6.706563399999999, 'lng': 107.5375358}, 'viewport': {'northeast': {'lat': -6.705171520107278, 'lng': 107.5388939298927}, 'southwest': {'lat': -6.707871179892722, 'lng': 107.5361942701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Villa Naradjiwa Sakambang,"[{'height': 2296, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114174823498596241711"">asep andri</a>'], 'photo_reference': 'AUGGfZme9z3kiAZqcExVec4n7H8Y9VGHhLagyZdc0bCu97TQWIJg9DG6lWVKt75_4rTxTKl6C15lItJePzQk4gGkzAR_WFR7N-hqsm8SWzjpTwNRodBTu8KakyTVCFsoeSWec2darx8ZpQtCsQMEuZ5vCz8d3bNT7O-OExDmMuBwQiJKjiJY', 'width': 4080}]",ChIJIQFSXgAdaS4RK1mQVDVR6H0,5.0,ChIJIQFSXgAdaS4RK1mQVDVR6H0,"['tourist_attraction', 'point_of_interest', 'establishment']",1.0,OPERATIONAL,,,,https://www.google.com/maps/place/?q=place_id:ChIJIQFSXgAdaS4RK1mQVDVR6H0
"9G6H+378, Taringgul Tonggoh, Wanayasa, Purwakarta Regency, West Java 41174, Indonesia","{'location': {'lat': -6.6398343, 'lng': 107.5282145}, 'viewport': {'northeast': {'lat': -6.638459570107278, 'lng': 107.5294879298927}, 'southwest': {'lat': -6.641159229892722, 'lng': 107.5267882701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kolam Renang Aleichraa,"[{'height': 1280, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100908083275947302703"">Icha Chairunnisa</a>'], 'photo_reference': 'AUGGfZn5fuP5dtzE06wDhzn9vkvEidDD35k8nrb3od21pqyVWtg_ASDKpYnNQLHT12ObUFKEuCyt19sv0IUH0Jm3Qq2ebH08q_j3ZPewbT45W749ry2NIWYUvJ8dFLgdnQSCs_e48q7V_XJrgtOAZ3UWywab_tHxbU7-MsXV15FdckyvnXk4', 'width': 1280}]",ChIJhys5hxUbaS4Ry7WfOdypDDA,4.6,ChIJhys5hxUbaS4Ry7WfOdypDDA,"['tourist_attraction', 'point_of_interest', 'establishment']",8.0,OPERATIONAL,,,,https://www.google.com/maps/place/?q=place_id:ChIJhys5hxUbaS4Ry7WfOdypDDA
"Kp.Bojong Kambang, RT.10/RW.04, Cihanjawar, Kec. Wanayasa, Kabupaten Purwakarta, Jawa Barat 41164, Indonesia","{'location': {'lat': -6.7109385, 'lng': 107.5352518}, 'viewport': {'northeast': {'lat': -6.709152420107277, 'lng': 107.5359768798927}, 'southwest': {'lat': -6.711852079892721, 'lng': 107.5332772201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Curug Bedul,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101793601008421935459"">A Google User</a>'], 'photo_reference': 'AUGGfZmaDdGebKlI1a0_tRbqAVr4KcAh4XsYGTW1o-Xvkx4zgn3Updd0RDnqX3N2NfgiNPYRu-oJBqhOCbc749nusrKTHp2uXdFWTqOVqyW8R7W4wVcXTry-sJUcxd1PJM5ECF2ewC0C3YF9MA72BjZjzGIn1WFR5Qbo8sH4iYNotbFY2JPi', 'width': 4160}]",ChIJRU5oGXUdaS4RfIbpJy6wACQ,4.6,ChIJRU5oGXUdaS4RfIbpJy6wACQ,"['tourist_attraction', 'point_of_interest', 'establishment']",7.0,OPERATIONAL,,"{'compound_code': '7GQP+J4 Cihanjawar, Purwakarta Regency, West Java, Indonesia', 'global_code': '6P597GQP+J4'}",,https://www.google.com/maps/place/?q=place_id:ChIJRU5oGXUdaS4RfIbpJy6wACQ
"9G9G+C39, Kp karang anyar desa, RT.05/RW.02, Taringgul Tengah, Kec. Wanayasa, Kabupaten Purwakarta, Jawa Barat, Indonesia","{'location': {'lat': -6.6314622, 'lng': 107.5252241}, 'viewport': {'northeast': {'lat': -6.630000070107278, 'lng': 107.5266004798927}, 'southwest': {'lat': -6.632699729892722, 'lng': 107.5239008201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Ipawidiawati,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107834652223975268997"">A Google User</a>'], 'photo_reference': 'AUGGfZlUr4hyy1pbaEdEwKXA0c2fopGjtSBpsVDuCUgRhKNjG61sAagS2s7tG2okmiNU4hkB022bnsKSJX7bTkd6tRr5vHoudAr2pznE5bF8jB4Lk7wry_b1Y90C0VqGXcpss8Edc65UWy76JSsWeO5biU_7GA3BenoMUicjAyggdpBalbYX', 'width': 3120}]",ChIJifzsttQbaS4RGUoXJkQB0Mk,5.0,ChIJifzsttQbaS4RGUoXJkQB0Mk,"['tourist_attraction', 'point_of_interest', 'establishment']",1.0,OPERATIONAL,,,,https://www.google.com/maps/place/?q=place_id:ChIJifzsttQbaS4RGUoXJkQB0Mk
"8H6G+34C, Pusakamulya, Kiarapedes, Purwakarta Regency, West Java 41175, Indonesia","{'location': {'lat': -6.6933022, 'lng': 107.5750773}, 'viewport': {'northeast': {'lat': -6.691963270107277, 'lng': 107.5764249798927}, 'southwest': {'lat': -6.694662929892721, 'lng': 107.5737253201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pasir Langlang Panyawangan/Ujung Aspal,"[{'height': 1836, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103074179453368989770"">agus herawan</a>'], 'photo_reference': 'AUGGfZnN3JH_yaRbjg_di8CzNbgA0NlxCaYZp8yY78G8utJll72GTw1Jj4C1wFCWRQnSGbmOEbp83KYOGW8NDvF8fKdBTc-Sd07n0g0IPjpdglNYjgRGNtuFLeT70F8Aad4jdYxwzpZiWk1tVgLx9A5LtI5xv0UxrLsUt7zf-GiN8RCDNL5B', 'width': 3264}]",ChIJ_____6weaS4RCTlN4bRN9wI,4.3,ChIJ_____6weaS4RCTlN4bRN9wI,"['tourist_attraction', 'point_of_interest', 'establishment']",195.0,OPERATIONAL,{'open_now': False},,,https://www.google.com/maps/place/?q=place_id:ChIJ_____6weaS4RCTlN4bRN9wI
"9GW3+2Q, Parakansalam, Pondoksalam, Purwakarta Regency, West Java, Indonesia","{'location': {'lat': -6.604965, 'lng': 107.5044467}, 'viewport': {'northeast': {'lat': -6.604197500000001, 'lng': 107.5053729298927}, 'southwest': {'lat': -6.607267499999997, 'lng': 107.5026732701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Mata Air Legok Cu Manggala,,ChIJN-amX2YbaS4ReAp7tgsZF_o,5.0,ChIJN-amX2YbaS4ReAp7tgsZF_o,"['tourist_attraction', 'point_of_interest', 'establishment']",1.0,OPERATIONAL,,,,https://www.google.com/maps/place/?q=place_id:ChIJN-amX2YbaS4ReAp7tgsZF_o
"8HVX+Q75, Parakan Garokgek, Kiarapedes, Purwakarta Regency, West Java 41175, Indonesia","{'location': {'lat': -6.655617899999999, 'lng': 107.5982399}, 'viewport': {'northeast': {'lat': -6.654904520107277, 'lng': 107.5991664298927}, 'southwest': {'lat': -6.657604179892721, 'lng': 107.5964667701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wana Wisata Cidomas,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104607163487473295254"">Jejak Explorer</a>'], 'photo_reference': 'AUGGfZmjQ6mVeHdzcKWUt2uHM-RSlKdRTAjZA7dENjLjk6n2bTiZkBv1Sxj2t9AKznwukA8b7L-qKhV9FH1Vc3n7_Bq6uwj65O2slCnE2CFFA5YKcxUK1LLTiWyd-5JhwQiJQ4ua1zir1pOsx9nKI20w01D6CI2I6g8GlNciJJ4f5JoeZl7V', 'width': 1920}]",ChIJAXUJThMZaS4RvPTbG9mZ3e8,4.3,ChIJAXUJThMZaS4RvPTbG9mZ3e8,"['tourist_attraction', 'point_of_interest', 'establishment']",137.0,OPERATIONAL,,,,https://www.google.com/maps/place/?q=place_id:ChIJAXUJThMZaS4RvPTbG9mZ3e8
"8H75+M45, Wanayasa, Purwakarta Regency, West Java 41174, Indonesia","{'location': {'lat': -6.685872499999999, 'lng': 107.5578706}, 'viewport': {'northeast': {'lat': -6.684278270107278, 'lng': 107.5593012798927}, 'southwest': {'lat': -6.686977929892722, 'lng': 107.5566016201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tiis panon Herang ceuli,,ChIJZXcoB5IdaS4ROFZzig4KWgM,0.0,ChIJZXcoB5IdaS4ROFZzig4KWgM,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,CLOSED_TEMPORARILY,,,True,https://www.google.com/maps/place/?q=place_id:ChIJZXcoB5IdaS4ROFZzig4KWgM
"7GMJ+52R, Cihanjawar, Bojong, Purwakarta Regency, West Java 41164, Indonesia","{'location': {'lat': -6.71758, 'lng': 107.529225}, 'viewport': {'northeast': {'lat': -6.716460220107279, 'lng': 107.5308943298927}, 'southwest': {'lat': -6.719159879892723, 'lng': 107.5281946701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,ci catur,"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117753027222112462404"">A Google User</a>'], 'photo_reference': 'AUGGfZnTzqSjk8J9EMm2_Q8uU61ax8DSg7nxmkbOlGSlybvqxIue-E5h4piQnEk_C2OhXSKjiFq503qZsco3bi6tcdB1xu4DTxd0Tfi_iY7dtaBBXYG4u7yi1eiYV0pwj-PJ3n18Nobyf6mNn__iXSNOXqLySbSNMrSfFaO6_tI16puRz3IV', 'width': 1080}]",ChIJqQZUBuAdaS4R0ByQPV1WU5I,0.0,ChIJqQZUBuAdaS4R0ByQPV1WU5I,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,OPERATIONAL,,,,https://www.google.com/maps/place/?q=place_id:ChIJqQZUBuAdaS4R0ByQPV1WU5I
"9GM5+7CW, Salam Mulya, Pondoksalam, Purwakarta Regency, West Java 41115, Indonesia","{'location': {'lat': -6.6167716, 'lng': 107.5085676}, 'viewport': {'northeast': {'lat': -6.615390470107278, 'lng': 107.5099913298927}, 'southwest': {'lat': -6.618090129892722, 'lng': 107.5072916701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Friendship Garden,"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100318372686434670667"">Thio Fitnes</a>'], 'photo_reference': 'AUGGfZk5lnBRfsQt95IS0a0tW6gOsR2Gcs_POJq5MiU95KD6NeXZd_hMewoJs49omeuzCEsi6QMUnL-Pg9Y_BLEHbPgQ2lYwtYNP7RbqFr4CVoxLZ6owbrBuhv8RtQuEo95818nw6RGMSJoBBAzrJWg6bifVxh3uZdxmeUshCp5IVX4x5yov', 'width': 4608}]",ChIJFbF4V5kaaS4RuQAFjWA60xg,4.6,ChIJFbF4V5kaaS4RuQAFjWA60xg,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",151.0,OPERATIONAL,{'open_now': False},,,https://www.google.com/maps/place/?q=place_id:ChIJFbF4V5kaaS4RuQAFjWA60xg
"CGFQ+GJX, Jl. Raya, Wanawali, Kec. Cibatu, Kabupaten Purwakarta, Jawa Barat 41181, Indonesia","{'location': {'lat': -6.5761414, 'lng': 107.5391005}, 'viewport': {'northeast': {'lat': -6.574779470107277, 'lng': 107.5404148798927}, 'southwest': {'lat': -6.577479129892721, 'lng': 107.5377152201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Panarawangan Bukit Cinta,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104509626960457121690"">tofan tri</a>'], 'photo_reference': 'AUGGfZlDKjXGZot9_ZzP_2FoZRxzDAV3iTBhNUc5GGXbFvehDXRWju2ncabCU4lBadf-jJTqUz_r0TfAXNUx1lcdterKhK4Q8o7sicgyOCd_uuEK4wtP0cArpvkU0s0UqrApBML_GpsMqBbhMDWl3SRB8HRwOZIF2yb5z98cj0j40nKpgfkl', 'width': 1920}]",ChIJK0UdBO4QaS4RKZRpz0Ruc_4,4.0,ChIJK0UdBO4QaS4RKZRpz0Ruc_4,"['tourist_attraction', 'point_of_interest', 'establishment']",199.0,OPERATIONAL,,,,https://www.google.com/maps/place/?q=place_id:ChIJK0UdBO4QaS4RKZRpz0Ruc_4
"Darmaga, Pasanggrahan, Kec. Bojong, Kabupaten Purwakarta, Jawa Barat 41164, Indonesia","{'location': {'lat': -6.7241369, 'lng': 107.5318716}, 'viewport': {'northeast': {'lat': -6.722781020107278, 'lng': 107.5332204298927}, 'southwest': {'lat': -6.725480679892722, 'lng': 107.5305207701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Villa cihanjawar,"[{'height': 900, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116489385780167960667"">A Google User</a>'], 'photo_reference': 'AUGGfZkdTXSceNJ42zr4RJt9DLAAZJA3iigJVM7LC_OWNbErrxTgoPUE4KFxGB1cWXppA42wz6tfKCKWXG--9i6Cq_GqrkkcaV7HD-sxvZ1OOG8nNWxP3ceCsF9hOrj2uvh2wifxh8BQz-2fhevJ1yu00KqKD5sGsFcCffBylpKobQL8_pC7', 'width': 1600}]",ChIJVQspDbkdaS4RAfCJHdBP6do,4.8,ChIJVQspDbkdaS4RAfCJHdBP6do,"['tourist_attraction', 'local_government_office', 'point_of_interest', 'food', 'establishment']",9.0,OPERATIONAL,{'open_now': True},"{'compound_code': '7GGJ+8P Pasanggrahan, Purwakarta Regency, West Java, Indonesia', 'global_code': '6P597GGJ+8P'}",,https://www.google.com/maps/place/?q=place_id:ChIJVQspDbkdaS4RAfCJHdBP6do
"9GF3+F5R, Jl. Kapten Halim, Salem, Kec. Pondoksalam, Kabupaten Purwakarta, Jawa Barat 41115, Indonesia","{'location': {'lat': -6.6268577, 'lng': 107.5027578}, 'viewport': {'northeast': {'lat': -6.625495070107276, 'lng': 107.5041238298927}, 'southwest': {'lat': -6.62819472989272, 'lng': 107.5014241701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Abah Farm,,ChIJe8i-rQcbaS4RBSj7S0lFuII,0.0,ChIJe8i-rQcbaS4RBSj7S0lFuII,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,OPERATIONAL,,,,https://www.google.com/maps/place/?q=place_id:ChIJe8i-rQcbaS4RBSj7S0lFuII
"8G2G+M67, Pawenang, Bojong, Purwakarta Regency, West Java 41164, Indonesia","{'location': {'lat': -6.698327000000001, 'lng': 107.5255467}, 'viewport': {'northeast': {'lat': -6.696978670107277, 'lng': 107.5268805798927}, 'southwest': {'lat': -6.699678329892721, 'lng': 107.5241809201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pemancingan Nyi Iteunk,"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118072217223612967984"">Ardi Arbel</a>'], 'photo_reference': 'AUGGfZk17_qU0oPMbp8hmGp8TMSTm4Py6n7aYEPea0QCFPZCUZ2wFIc0QJNRxExIj61w2Jgr7Nn2e2_bq05Aexu8vGjlmuUmMgoGCM9cjrP2ttt2H_TFLR8llj-O09D99Yt6cPygucZA0tVx7fLLsS-57FYqzlAuHQFyKzO9GZfYJtQ5OYSA', 'width': 4032}]",ChIJMdiqjv4daS4RJGYcC9ARTkY,4.4,ChIJMdiqjv4daS4RJGYcC9ARTkY,"['tourist_attraction', 'point_of_interest', 'establishment']",9.0,OPERATIONAL,{'open_now': True},,,https://www.google.com/maps/place/?q=place_id:ChIJMdiqjv4daS4RJGYcC9ARTkY
"KAMPUNG PARAKANCEURI, Pusakamulya, Kiarapedes, Purwakarta Regency, West Java 41175, Indonesia","{'location': {'lat': -6.6882055, 'lng': 107.5829511}, 'viewport': {'northeast': {'lat': -6.686858570107278, 'lng': 107.5842998798927}, 'southwest': {'lat': -6.689558229892722, 'lng': 107.5816002201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,KAMPUNG PARAKANCEURI,"[{'height': 1152, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101964529468907344392"">A Google User</a>'], 'photo_reference': 'AUGGfZkqD6x_Kv_LgLpQAO75Bc7zst5oqmm46AznlqJSVBv1C5dVaCeLnPnPHNmRvDNSpt2KvxWkqrR7imaJezdIVLswcT7VEbnWg9awXGQ1vCXumuJUM9Xq1O733J7c2QewqlsGRqdr8ZLW41wKaxyYrR2iVIByP8dwE17hpNkaXF_H_ie_', 'width': 544}]",ChIJ_T7We1wfaS4RtIz8J2TFFpE,4.8,ChIJ_T7We1wfaS4RtIz8J2TFFpE,"['tourist_attraction', 'point_of_interest', 'establishment']",5.0,OPERATIONAL,{'open_now': False},"{'compound_code': '8H6M+P5 Pusakamulya, Purwakarta Regency, West Java, Indonesia', 'global_code': '6P598H6M+P5'}",,https://www.google.com/maps/place/?q=place_id:ChIJ_T7We1wfaS4RtIz8J2TFFpE
"7GFH+78, Pasanggrahan, Bojong, Purwakarta Regency, West Java, Indonesia","{'location': {'lat': -6.7267966, 'lng': 107.5282986}, 'viewport': {'northeast': {'lat': -6.725466270107278, 'lng': 107.5295934298927}, 'southwest': {'lat': -6.728165929892722, 'lng': 107.5268937701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Rumah paniisan uwa iyak tajur,,ChIJbyR4A78daS4RjgLFZTLXWUM,0.0,ChIJbyR4A78daS4RjgLFZTLXWUM,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,OPERATIONAL,,,,https://www.google.com/maps/place/?q=place_id:ChIJbyR4A78daS4RjgLFZTLXWUM
